AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,Discount,DLC count,About the game,Supported languages,Full audio languages,Reviews,Header image,Website,Support url,Support email,Windows,Mac,Linux,Metacritic score,Metacritic url,User score,Positive,Negative,Score rank,Achievements,Recommendations,Notes,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres,Tags,Screenshots,Movies
10,"Counter-Strike","Nov 1, 2000","10000000 - 20000000",87148,0,7.19,0,0,"Play the world's number 1 online action game.","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","[]","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg","http://www.counter-strike.net/","http://steamcommunity.com/app/10","",True,True,True,88,"https://www.metacritic.com/game/pc/counter-strike",0,124534,3339,"",0,0,"",17622,20,344,0,"Valve,Hidden Path Entertainment","Valve","Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled","Action","FPS,Multiplayer,Shooter,Action,Classic,Competitive","https://cdn.akamai.steamstatic.com/steam/apps/10/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/256665503/movie480.webm"
20,"Team Fortress Classic","Apr 1, 1999","2000000 - 5000000",815,0,3.99,0,0,"One of the most popular online action games of all time","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","[]","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/20/header.jpg","http://www.teamfortressclassic.com/","http://steamcommunity.com/app/20","",True,True,True,0,"",0,3614,633,"",0,0,"",1346,0,47,0,"Valve","Valve","Multi-player,Online Multi-Player,Valve Anti-Cheat enabled","Action","FPS,Multiplayer,Shooter,Action,Classic","https://cdn.akamai.steamstatic.com/steam/apps/20/0.1920x1080.jpg",""
30,"Day of Defeat","May 1, 2003","2000000 - 5000000",1923,0,3.99,0,0,"Enlist in an intense brand of Axis vs. Allied teamplay","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","[]","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/30/header.jpg","http://www.dayofdefeat.com/","http://steamcommunity.com/app/30","",True,True,True,79,"https://www.metacritic.com/game/pc/day-of-defeat",0,3416,268,"",0,0,"",662,0,31,0,"Valve","Valve","Multi-player,Valve Anti-Cheat enabled","Action","FPS,World War II,Multiplayer,Shooter,Action","https://cdn.akamai.steamstatic.com/steam/apps/30/0.1920x1080.jpg",""
40,"Deathmatch Classic","Jun 1, 2001","500000 - 1000000",142,0,3.99,0,0,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic","['English']","[]","Positive","https://cdn.akamai.steamstatic.com/steam/apps/40/header.jpg","http://www.half-life2.com/deathmatchclassic/","http://steamcommunity.com/app/40","",True,True,True,0,"",0,272,40,"",0,0,"",396,0,26,0,"Valve","Valve","Multi-player,Valve Anti-Cheat enabled","Action","FPS,Multiplayer,Shooter,Action,Classic","https://cdn.akamai.steamstatic.com/steam/apps/40/0.1920x1080.jpg",""
50,"Half-Life: Opposing Force","Nov 1, 1999","2000000 - 5000000",730,0,3.99,0,0,"Return to the Black Mesa Research Facility","['English', 'French', 'German', 'Korean', 'Simplified Chinese']","['English']","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/50/header.jpg","http://www.half-life.com/","http://steamcommunity.com/app/50","",True,False,False,74,"https://www.metacritic.com/game/pc/half-life-opposing-force",0,5534,189,"",0,0,"",439,0,208,0,"Gearbox Software","Valve","Single-player,Multi-player,Valve Anti-Cheat enabled","Action","FPS,Action,Sci-fi,Shooter,Classic","https://cdn.akamai.steamstatic.com/steam/apps/50/0.1920x1080.jpg",""
60,"Ricochet","Nov 1, 2000","200000 - 500000",17,0,3.99,0,0,"A futuristic action game","['English']","[]","Positive","https://cdn.akamai.steamstatic.com/steam/apps/60/header.jpg","http://www.half-life2.com/ricochet/","http://steamcommunity.com/app/60","",True,True,True,0,"",0,388,110,"",0,0,"",136,0,12,0,"Valve","Valve","Multi-player,Valve Anti-Cheat enabled","Action","FPS,Multiplayer,Action","https://cdn.akamai.steamstatic.com/steam/apps/60/0.1920x1080.jpg",""
70,"Half-Life","Nov 8, 1998","5000000 - 10000000",6247,0,7.19,0,1,"Named Game of the Year","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","['English', 'French', 'German']","Overwhelmingly Positive","https://cdn.akamai.steamstatic.com/steam/apps/70/header.jpg","http://www.half-life.com/","http://steamcommunity.com/app/70","",True,True,True,96,"https://www.metacritic.com/game/pc/half-life",0,27755,789,"",0,0,"",1004,0,253,0,"Valve","Valve","Single-player,Multi-player,Valve Anti-Cheat enabled,Captions available","Action","FPS,Classic,Action,Sci-fi,Shooter","https://cdn.akamai.steamstatic.com/steam/apps/70/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/256865043/movie480.webm"
80,"Condition Zero","Mar 1, 2004","5000000 - 10000000",3147,0,7.19,0,1,"With its extensive Tour of Duty campaign","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","[]","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg","http://www.counter-strike.net/","http://steamcommunity.com/app/80","",True,True,True,65,"https://www.metacritic.com/game/pc/counter-strike-condition-zero",0,12109,1520,"",0,0,"",884,0,102,0,"Valve,Ritual Entertainment,Turtle Rock Studios,Gearbox Software","Valve","Single-player,Multi-player,Valve Anti-Cheat enabled","Action","FPS,Shooter,Multiplayer,Action,Team-Based","https://cdn.akamai.steamstatic.com/steam/apps/80/0.1920x1080.jpg",""
100,"Counter-Strike: Condition Zero Deleted Scenes","Mar 1, 2004","2000000 - 5000000",0,0,3.99,0,0,"Deleted Scenes is a series of single player missions","['English', 'French', 'German', 'Italian', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","[]","Mostly Positive","https://cdn.akamai.steamstatic.com/steam/apps/100/header.jpg","http://www.counter-strike.net/","http://steamcommunity.com/app/100","",True,False,False,0,"",0,1583,624,"",0,0,"",236,0,62,0,"Ritual Entertainment","Valve","Single-player","Action","FPS,Action,Shooter","https://cdn.akamai.steamstatic.com/steam/apps/100/0.1920x1080.jpg",""
130,"Half-Life: Blue Shift","Jun 1, 2001","2000000 - 5000000",314,0,3.99,0,0,"Made by Gearbox Software","['English', 'French', 'German', 'Korean', 'Simplified Chinese']","['English']","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/130/header.jpg","http://www.half-life.com/","http://steamcommunity.com/app/130","",True,False,False,71,"https://www.metacritic.com/game/pc/half-life-blue-shift",0,2588,134,"",0,0,"",266,0,176,0,"Gearbox Software","Valve","Single-player","Action","FPS,Action,Sci-fi,Shooter,Classic","https://cdn.akamai.steamstatic.com/steam/apps/130/0.1920x1080.jpg",""
